0025	0.027251891	0.2385
0050	0.025893286	0.2384
On Held_Out: 0050	0.028466455	0.0296
0075	0.025280981	0.2383
0100	0.024842739	0.2384
On Held_Out: 0100	0.027418118	0.0287
0125	0.024558582	0.2386
0150	0.024336705	0.2384
On Held_Out: 0150	0.027453108	0.0287
0175	0.024208452	0.2382
0200	0.023974536	0.2382
On Held_Out: 0200	0.027701702	0.0286
0225	0.023831878	0.2384
0250	0.023809474	0.2382
On Held_Out: 0250	0.027453889	0.0287
0275	0.023631860	0.2383
0300	0.023573532	0.2387
On Held_Out: 0300	0.028060890	0.0286
0325	0.023500100	0.2384
0350	0.023322503	0.2382
On Held_Out: 0350	0.027213271	0.0285
0375	0.023360823	0.2383
0400	0.023210637	0.2386
On Held_Out: 0400	0.027632367	0.0287
0425	0.023207078	0.2388
0450	0.023197221	0.2382
On Held_Out: 0450	0.027186792	0.0287
0475	0.023095379	0.2384
0500	0.023055680	0.2387
On Held_Out: 0500	0.026806221	0.0286
0525	0.023020247	0.2383
0550	0.022937000	0.2378
On Held_Out: 0550	0.027225368	0.0285
0575	0.022983563	0.2385
0600	0.022829237	0.2387
On Held_Out: 0600	0.027894981	0.0286
0625	0.022842726	0.2382
0650	0.022767148	0.2383
On Held_Out: 0650	0.026831292	0.0286
0675	0.022785355	0.2384
0700	0.022735515	0.2384
On Held_Out: 0700	0.027203589	0.0287
0725	0.022663619	0.2382
0750	0.022682221	0.2384
On Held_Out: 0750	0.027269145	0.0287
0775	0.022665954	0.2383
0800	0.022594995	0.2385
On Held_Out: 0800	0.027068486	0.0287
0825	0.022615869	0.2386
0850	0.022609002	0.2383
On Held_Out: 0850	0.027294094	0.0286
0875	0.022547199	0.2385
0900	0.022572298	0.2383
On Held_Out: 0900	0.027248335	0.0286
0925	0.022510681	0.2382
0950	0.022509884	0.2384
On Held_Out: 0950	0.027257570	0.0287
0975	0.022426165	0.2384
1000	0.022479768	0.2387
On Held_Out: 1000	0.027086315	0.0285
1025	0.022403081	0.2383
