0025	0.020069023	0.0570
0050	0.018417125	0.0561
On Held_Out: 0050	0.024738555	0.0127
0075	0.017537062	0.0559
0100	0.016808577	0.0560
On Held_Out: 0100	0.024130916	0.0116
0125	0.016578362	0.0560
0150	0.015931729	0.0558
On Held_Out: 0150	0.023822896	0.0115
0175	0.015745109	0.0561
0200	0.015494120	0.0559
On Held_Out: 0200	0.023646506	0.0114
0225	0.015424375	0.0558
0250	0.015187104	0.0560
On Held_Out: 0250	0.023187877	0.0113
0275	0.015515886	0.0557
0300	0.015083361	0.0558
On Held_Out: 0300	0.023813032	0.0114
0325	0.014863323	0.0559
0350	0.014868683	0.0558
On Held_Out: 0350	0.023471736	0.0114
0375	0.014845343	0.0559
0400	0.014731420	0.0557
On Held_Out: 0400	0.023153407	0.0115
0425	0.014598764	0.0557
0450	0.014614818	0.0558
On Held_Out: 0450	0.023137089	0.0114
0475	0.014477402	0.0559
0500	0.014498880	0.0557
On Held_Out: 0500	0.023074115	0.0115
0525	0.014418178	0.0559
0550	0.014455950	0.0559
On Held_Out: 0550	0.023013818	0.0114
0575	0.014376289	0.0560
0600	0.014352251	0.0559
On Held_Out: 0600	0.023112312	0.0115
0625	0.014342150	0.0559
0650	0.014292040	0.0560
On Held_Out: 0650	0.023219800	0.0114
0675	0.014311429	0.0559
0700	0.014344189	0.0558
On Held_Out: 0700	0.023134761	0.0114
0725	0.014182916	0.0559
0750	0.014242402	0.0559
On Held_Out: 0750	0.023072289	0.0114
0775	0.014140486	0.0560
0800	0.014211067	0.0558
On Held_Out: 0800	0.023264644	0.0115
0825	0.014232767	0.0558
0850	0.014189712	0.0558
On Held_Out: 0850	0.023096552	0.0114
0875	0.014135623	0.0558
0900	0.014141795	0.0558
On Held_Out: 0900	0.023284911	0.0115
0925	0.014201345	0.0559
0950	0.014054579	0.0559
On Held_Out: 0950	0.023094627	0.0114
0975	0.014097286	0.0558
1000	0.013966462	0.0558
On Held_Out: 1000	0.023096012	0.0114
1025	0.014070957	0.0557
1050	0.013983952	0.0560
On Held_Out: 1050	0.023391690	0.0114
